Fe,Si,B,P,Cu,V,Nb,Annealing temperature (K),Annealing Time (s),Longitudinal Annealing field,Transverse Annealing field,Ribbon Thickness (um),Total SiCAl,Total BP,Total Late Transition,Total Early Transition,Relative to Fe SiCAl,Relative to Fe BP,Relative to Fe Early,Relative to Fe Late,Relative to Late Early,Relative to Early SiCAl,Relative to Late SiCAl,Relative to Early BP,Relative to Late BP,Late Weighted Volume,Late Weighted Area,Late Weighted Mass,Late Mean Electrons,Early Weighted Volume,Early Weighted Area,Early Weighted Mass,Early Mean Electrons,Core Loss,Composition ID,Reference DOI
73.5,13.5,9,0,1,0,3,813,1800,0,0,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,296.874236,1100100011,10.1016/j.jallcom.2006.12.133
73.5,13.5,9,0,1,1,2,833,1800,0,0,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,45.9551509,12.7742969,78.9181,5,274.8184685,1100100011,10.1016/j.jallcom.2006.12.133
73.5,13.5,9,0,1,2,1,833,1800,0,0,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,39.77066975,11.59202563,64.9298,5,197.6095301,1100100011,10.1016/j.jallcom.2006.12.133
73.5,13.5,9,0,1,1.5,1.5,833,1800,0,0,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,42.86291032,12.18316127,71.923935,5,234.9885091,1100100011,10.1016/j.jallcom.2006.12.133
73.5,15.5,7,0,1,0,3,823,3600,0,1,22,15.5,7,1,3,0.210884354,0.095238095,0.040816327,0.013605442,3,5.166666667,15.5,2.333333333,7,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,338.91768,1100100011,10.1016/j.pnsc.2017.09.002
73.5,15.5,7,0,1,0,3,823,3600,0,1,18,15.5,7,1,3,0.210884354,0.095238095,0.040816327,0.013605442,3,5.166666667,15.5,2.333333333,7,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,331.87032,1100100011,10.1016/j.pnsc.2017.09.002
73.5,15.5,7,0,1,0,3,823,3600,0,1,14,15.5,7,1,3,0.210884354,0.095238095,0.040816327,0.013605442,3,5.166666667,15.5,2.333333333,7,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,161.36568,1100100011,10.1016/j.pnsc.2017.09.002
74.5,13.5,9,0,0,0,3,763,3600,0,0,17.5,13.5,9,0,3,0.181208054,0.120805369,0.040268456,0,,4.5,,3,,0,0,0,0,52.13963205,13.95656817,92.90637,5,1231,1100100001,10.1063/1.342149
74,13.5,9,0,0.5,0,3,843,3600,0,0,17.5,13.5,9,0.5,3,0.182432432,0.121621622,0.040540541,0.006756757,6,4.5,27,3,18,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,305.57,1100100011,10.1063/1.342149
73.5,16.5,6,0,1,0,3,853,3600,0,0,17.5,16.5,6,1,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,280,1100100011,10.1063/1.342149
73.5,13.5,9,0,1,0,3,853,3600,0,0,17.5,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,280,1100100011,10.1063/1.342149
73,13.5,9,0,1.5,0,3,833,3600,0,0,17.5,13.5,9,1.5,3,0.184931507,0.123287671,0.04109589,0.020547945,2,4.5,9,3,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,314.68,1100100011,10.1063/1.342149
85,2,8,4,1,0,0,733,600,0,0,20,2,12,1,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,892.6634,1100110010,10.1063/1.3535169
73.5,13.5,9,0,1,0,3,823,3600,1,0,18,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,750,1100100011,10.1109/20.42291
73.5,13.5,9,0,1,0,3,823,3600,0,1,18,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,246.85,1100100011,10.1109/20.42291
73.5,13.5,9,0,1,0,3,823,3600,0,0,18,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,246.85,1100100011,10.1109/20.42291
73.5,13.5,9,0,1,0,3,823,3600,1,0,22.7013,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,1031.8383,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,1,0,18.1493,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,937.6053,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,1,0,17.1677,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,807.2429,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,1,0,13.3961,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,656.1743,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,1,0,10.9969,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,596.9675,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,1,0,7.2758,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,522.8373,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,1,22.7095,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,480.4297,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,0,22.6332,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,419.669,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,0,18.1052,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,372.5629,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,1,18.1277,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,339.4058,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,0,17.051,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,332.9359,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,1,17.0734,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,301.895,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,0,13.4517,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,283.5699,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,0,10.9317,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,277.94,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,0,7.3592,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,264.7526,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,1,13.4466,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,224.6179,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,1,11.023,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,204.3477,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,1,7.229,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,182.333,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,790,60,0,0,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,2885,1100100011,https://doi.org/10.1051/jp4:1998268
73.5,13.5,9,0,1,0,3,790,3600,0,0,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,1057,1100100011,https://doi.org/10.1051/jp4:1998268
73.5,13.5,9,0,1,0,3,790,900,0,0,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,1037,1100100011,https://doi.org/10.1051/jp4:1998268
73.5,13.5,9,0,1,0,3,790,300,0,0,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,990,1100100011,https://doi.org/10.1051/jp4:1998268
