Fe,Si,B,P,Cu,Ag,Zr,Nb,Annealing temperature (K),Annealing Time (s),Primary Crystallization Peak (K),Ribbon Thickness (um),Total SiCAl,Total BP,Total Early Transition,Relative to Fe SiCAl,Relative to Fe BP,Relative to Fe Early,Relative to Fe Late,Relative to Late Early,Relative to Early SiCAl,Relative to Late SiCAl,Relative to Early BP,Relative to Late BP,Late Weighted Volume,Late Weighted Area,Late Weighted Mass,Late Mean Electrons,Early Weighted Volume,Early Weighted Area,Early Weighted Mass,Early Mean Electrons,Delta T0,Delta T1,Delta T2,Electrical Resistivity,Composition ID,Reference DOI
75.3,13,9,0,1,0,1.7,0,923,3600,725,25,13,9,1.7,0.172642762,0.119521912,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,198,78,1.788153296,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,9,0,1,0,1.7,0,848,3600,725,25,13,9,1.7,0.172642762,0.119521912,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,123,3,1.808505256,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,9,0,1,0,1.7,0,598,3600,725,25,13,9,1.7,0.172642762,0.119521912,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-127,-247,2.01806585,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,9,0,1,0,1.7,0,873,3600,725,25,13,9,1.7,0.172642762,0.119521912,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,148,28,1.789118875,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,9,0,1,0,1.7,0,499,3600,725,25,13,9,1.7,0.172642762,0.119521912,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-226,-346,2.008767731,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,9,0,1,0,1.7,0,548,3600,725,25,13,9,1.7,0.172642762,0.119521912,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-177,-297,1.987452911,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,9,0,1,0,1.7,0,423,3600,725,25,13,9,1.7,0.172642762,0.119521912,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-302,-422,2.008416858,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,9,0,1,0,1.7,0,448,3600,725,25,13,9,1.7,0.172642762,0.119521912,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-277,-397,1.978152072,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,9,0,1,0,1.7,0,648,3600,725,25,13,9,1.7,0.172642762,0.119521912,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-77,-197,1.973064422,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,9,0,1,0,1.7,0,698,3600,725,25,13,9,1.7,0.172642762,0.119521912,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-27,-147,1.988506888,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,9,0,1,0,1.7,0,773,3600,725,25,13,9,1.7,0.172642762,0.119521912,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,48,-72,1.899295535,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,9,0,1,0,1.7,0,523,3600,725,25,13,9,1.7,0.172642762,0.119521912,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-202,-322,1.967892454,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,9,0,1,0,1.7,0,623,3600,725,25,13,9,1.7,0.172642762,0.119521912,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-102,-222,2.008245502,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,9,0,1,0,1.7,0,673,3600,725,25,13,9,1.7,0.172642762,0.119521912,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-52,-172,1.982104147,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,9,0,1,0,1.7,0,748,3600,725,25,13,9,1.7,0.172642762,0.119521912,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,23,-97,1.984383457,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,9,0,1,0,1.7,0,799,3600,725,25,13,9,1.7,0.172642762,0.119521912,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,74,-46,1.828857217,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,9,0,1,0,1.7,0,823,3600,725,25,13,9,1.7,0.172642762,0.119521912,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,98,-22,1.823681168,1100100011,10.1016/S0304-8853(01)00349-3
86,1,8,4,1,0,0,0,733,600,,20,1,12,0,0.011627907,0.139534884,0,0.011627907,0,,1,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,0.67,1100110010,10.1063/1.3535169
85,2,8,4,1,0,0,0,733,600,,20,2,12,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,0.736,1100110010,10.1063/1.3535169
85,2,8,4,1,0,0,0,753,600,,20,2,12,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,0.67351,1100110010,10.1063/1.3535169
85,2,8,4,1,0,0,0,748,600,,20,2,12,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,0.699338,1100110010,10.1063/1.3535169
85,2,8,4,1,0,0,0,703,600,,20,2,12,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,0.750993,1100110010,10.1063/1.3535169
85,2,8,4,1,0,0,0,743,600,,20,2,12,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,0.707285,1100110010,10.1063/1.3535169
85,2,8,4,1,0,0,0,713,600,,20,2,12,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,0.74106,1100110010,10.1063/1.3535169
85,2,8,4,1,0,0,0,723,600,,20,2,12,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,0.729139,1100110010,10.1063/1.3535169
85,2,8,4,1,0,0,0,688,600,,20,2,12,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,0.75894,1100110010,10.1063/1.3535169
85,2,8,4,1,0,0,0,673,600,,20,2,12,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,0.75894,1100110010,10.1063/1.3535169
85,2,8,4,1,0,0,0,648,600,,20,2,12,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,0.768874,1100110010,10.1063/1.3535169
85,2,8,4,1,0,0,0,623,600,,20,2,12,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,0.796689,1100110010,10.1063/1.3535169
87,0,5,0,0,1,7,0,873,3600,812,30,0,5,7,0,0.057471264,0.08045977,0.011494253,7,0,0,0.714285714,5,30.17339817,9.692061232,107.8682,1,58.71837826,15.10715557,91.224,4,85,61,,1.784777576,1000100011,https://aip.scitation.org/doi/abs/10.1063/1.359284
87,0,5,0,0,1,7,0,673,3600,812,30,0,5,7,0,0.057471264,0.08045977,0.011494253,7,0,0,0.714285714,5,30.17339817,9.692061232,107.8682,1,58.71837826,15.10715557,91.224,4,-115,-139,,3.517380519,1000100011,https://aip.scitation.org/doi/abs/10.1063/1.359284
87,0,5,0,0,1,7,0,773,3600,812,30,0,5,7,0,0.057471264,0.08045977,0.011494253,7,0,0,0.714285714,5,30.17339817,9.692061232,107.8682,1,58.71837826,15.10715557,91.224,4,-15,-39,,1.035695386,1000100011,https://aip.scitation.org/doi/abs/10.1063/1.359284
87,0,5,0,0,1,7,0,473,3600,812,30,0,5,7,0,0.057471264,0.08045977,0.011494253,7,0,0,0.714285714,5,30.17339817,9.692061232,107.8682,1,58.71837826,15.10715557,91.224,4,-315,-339,,3.304944601,1000100011,https://aip.scitation.org/doi/abs/10.1063/1.359284
87,0,5,0,0,1,7,0,573,3600,812,30,0,5,7,0,0.057471264,0.08045977,0.011494253,7,0,0,0.714285714,5,30.17339817,9.692061232,107.8682,1,58.71837826,15.10715557,91.224,4,-215,-239,,4.405659831,1000100011,https://aip.scitation.org/doi/abs/10.1063/1.359284
73.5,16,6,0,1,0,0,3,903,3600,,20,16,6,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.56,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16.5,6,0,1,0,0,3,903,3600,,,16.5,6,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.56,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,6,0,1,0,0,3,798,3600,,20,16,6,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.72,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16.5,6,0,1,0,0,3,798,3600,,,16.5,6,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.72,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,6,0,1,0,0,3,848,3600,,20,16,6,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.76,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16.5,6,0,1,0,0,3,848,3600,,,16.5,6,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.76,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,6,0,1,0,0,3,773,3600,,20,16,6,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.96,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16.5,6,0,1,0,0,3,773,3600,,,16.5,6,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.96,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,6,0,1,0,0,3,823,3600,,20,16,6,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.72,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16.5,6,0,1,0,0,3,823,3600,,,16.5,6,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.72,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,6,0,1,0,0,3,873,3600,,20,16,6,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.48,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16.5,6,0,1,0,0,3,873,3600,,,16.5,6,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.48,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,6,0,1,0,0,3,728,3600,,20,16,6,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.84,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16.5,6,0,1,0,0,3,728,3600,,,16.5,6,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.84,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
