Fe,Si,Al,B,P,Cu,Ag,Au,V,Cr,Zr,Nb,Mo,W,Pr,Gd,Annealing temperature (K),Annealing Time (s),Primary Crystallization Onset (K),Primary Crystallization Peak (K),Secondary Crystallization Peak (K),Ribbon Thickness (um),Total SiCAl,Total BP,Total Late Transition,Total Early Transition,Relative to Fe SiCAl,Relative to Fe BP,Relative to Fe Early,Relative to Fe Late,Relative to Late Early,Relative to Early SiCAl,Relative to Late SiCAl,Relative to Early BP,Relative to Late BP,Late Weighted Volume,Late Weighted Area,Late Weighted Mass,Late Mean Electrons,Early Weighted Volume,Early Weighted Area,Early Weighted Mass,Early Mean Electrons,Delta T0,Delta T1,Delta T2,Grain Diameter,Composition ID,Reference DOI
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,813,1800,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,12.5,1100100011,10.1016/j.jallcom.2006.12.133
73.5,13.5,0,9,0,1,0,0,1,0,0,2,0,0,0,0,833,1800,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,45.9551509,12.7742969,78.9181,5,,,,12.00961538,1100100011,10.1016/j.jallcom.2006.12.133
73.5,13.5,0,9,0,1,0,0,2,0,0,1,0,0,0,0,833,1800,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,39.77066975,11.59202563,64.9298,5,,,,9.009615385,1100100011,10.1016/j.jallcom.2006.12.133
73.5,13.5,0,9,0,1,0,0,1.5,0,0,1.5,0,0,0,0,833,1800,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,42.86291032,12.18316127,71.923935,5,,,,11,1100100011,10.1016/j.jallcom.2006.12.133
84.3,4,0,8,3,0.7,0,0,0,0,0,0,0,0,0,0,748,600,,,,20,4,11,0.7,0,0.047449585,0.130486358,0,0.008303677,0,,5.714285714,,15.71428571,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,17,1100110010,10.1063/1.3058624
83.3,4,0,8,4,0.7,0,0,0,0,0,0,0,0,0,0,748,600,,,,20,4,12,0.7,0,0.048019208,0.144057623,0,0.008403361,0,,5.714285714,,17.14285714,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,10,1100110010,10.1063/1.3058624
86,1,0,8,4,1,0,0,0,0,0,0,0,0,0,0,733,600,,,,20,1,12,1,0,0.011627907,0.139534884,0,0.011627907,0,,1,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,19,1100110010,10.1063/1.3535169
85,2,0,8,4,1,0,0,0,0,0,0,0,0,0,0,733,600,,,,20,2,12,1,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,16,1100110010,10.1063/1.3535169
84,4,0,8,4,0,0,0,0,0,0,0,0,0,0,0,723,1800,,701,808,22.5,4,12,0,0,0.047619048,0.142857143,0,0,,,,,,0,0,0,0,0,0,0,0,,22,-85,53.09553001,1100110000,10.1063/1.3535290
83.25,4,0,8,4,0.75,0,0,0,0,0,0,0,0,0,0,723,1800,,673,810,22.5,4,12,0.75,0,0.048048048,0.144144144,0,0.009009009,0,,5.333333333,,16,20.47747469,7.484870061,63.546,2,0,0,0,0,,50,-87,17.09604087,1100110010,10.1063/1.3535290
83.5,4,0,8,4,0.5,0,0,0,0,0,0,0,0,0,0,723,1800,,675,810,22.5,4,12,0.5,0,0.047904192,0.143712575,0,0.005988024,0,,8,,24,20.47747469,7.484870061,63.546,2,0,0,0,0,,48,-87,22.81966794,1100110010,10.1063/1.3535290
82.5,4,0,8,4,1.5,0,0,0,0,0,0,0,0,0,0,723,1800,,666,808,22.5,4,12,1.5,0,0.048484848,0.145454545,0,0.018181818,0,,2.666666667,,8,20.47747469,7.484870061,63.546,2,0,0,0,0,,57,-85,16.06309068,1100110010,10.1063/1.3535290
83,4,0,8,4,1,0,0,0,0,0,0,0,0,0,0,723,1800,,673,808,22.5,4,12,1,0,0.048192771,0.144578313,0,0.012048193,0,,4,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,50,-85,16.54482759,1100110010,10.1063/1.3535290
82.75,4,0,8,4,1.25,0,0,0,0,0,0,0,0,0,0,723,1800,,671,810,22.5,4,12,1.25,0,0.048338369,0.145015106,0,0.01510574,0,,3.2,,9.6,20.47747469,7.484870061,63.546,2,0,0,0,0,,52,-87,15.99463602,1100110010,10.1063/1.3535290
85,2,0,8,4,1,0,0,0,0,0,0,0,0,0,0,698,3000,,,,20,2,12,1,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,16.79641577,1100110010,10.1063/1.4868188
85,2,0,8,4,1,0,0,0,0,0,0,0,0,0,0,698,1800,,,,20,2,12,1,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,16.83197133,1100110010,10.1063/1.4868188
85,2,0,8,4,1,0,0,0,0,0,0,0,0,0,0,698,120,,,,20,2,12,1,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,16.61505376,1100110010,10.1063/1.4868188
85,2,0,8,4,1,0,0,0,0,0,0,0,0,0,0,698,300,,,,20,2,12,1,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,16.07641577,1100110010,10.1063/1.4868188
85,2,0,8,4,1,0,0,0,0,0,0,0,0,0,0,698,1200,,,,20,2,12,1,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,16.40544803,1100110010,10.1063/1.4868188
85,2,0,8,4,1,0,0,0,0,0,0,0,0,0,0,698,600,,,,20,2,12,1,0,0.023529412,0.141176471,0,0.011764706,0,,2,,12,20.47747469,7.484870061,63.546,2,0,0,0,0,,,,16.33433692,1100110010,10.1063/1.4868188
74.5,13.5,0,9,0,0,0,0,0,0,0,3,0,0,0,0,813,3600,,,,20,13.5,9,0,3,0.181208054,0.120805369,0.040268456,0,,4.5,,3,,0,0,0,0,52.13963205,13.95656817,92.90637,5,,,,53.2477,1100100001,10.1109/20.104389
74.5,13.5,0,9,0,0,0,0,0,0,0,3,0,0,0,0,853,3600,,,,20,13.5,9,0,3,0.181208054,0.120805369,0.040268456,0,,4.5,,3,,0,0,0,0,52.13963205,13.95656817,92.90637,5,,,,29.58,1100100001,10.1109/20.104389
74.5,13.5,0,9,0,0,0,0,0,0,0,3,0,0,0,0,803,3600,,,,20,13.5,9,0,3,0.181208054,0.120805369,0.040268456,0,,4.5,,3,,0,0,0,0,52.13963205,13.95656817,92.90637,5,,,,25.1013,1100100001,10.1109/20.104389
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,813,3600,,,,20,16.5,6,1,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,14.0829,1100100011,10.1109/20.104389
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,813,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,11.2085,1100100011,10.1109/20.104389
73.5,13.5,0,9,0,1,0,0,0,0,0,0,0,0,3,0,823,3600,,,,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,101.2192817,21.71911712,140.90766,8,,,,15,1100100011,https://doi.org/10.1007/s10582-004-0078-3
73.5,13.5,0,9,0,1,0,0,0,0,0,0,0,0,0,3,823,3600,,,,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,84.9650181,19.32680669,157.25,3,,,,15,1100100011,https://doi.org/10.1007/s10582-004-0078-3
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,813,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,10.32124352,1100100011,https://doi.org/10.1016/S0304-8853(00)00132-3
63.5,13.5,10,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,,,,20,23.5,9,1,3,0.37007874,0.141732283,0.047244094,0.015748031,3,7.833333333,23.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,10.41450777,1101100011,https://doi.org/10.1016/S0304-8853(00)00132-3
69.5,13.5,4,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,,,,20,17.5,9,1,3,0.251798561,0.129496403,0.043165468,0.014388489,3,5.833333333,17.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,9.948186528,1101100011,https://doi.org/10.1016/S0304-8853(00)00132-3
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,9.637305699,1101100011,https://doi.org/10.1016/S0304-8853(00)00132-3
65.5,13.5,8,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,,,,20,21.5,9,1,3,0.328244275,0.13740458,0.045801527,0.015267176,3,7.166666667,21.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,9.544041451,1101100011,https://doi.org/10.1016/S0304-8853(00)00132-3
68.5,13.5,5,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,,,,20,18.5,9,1,3,0.270072993,0.131386861,0.04379562,0.01459854,3,6.166666667,18.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,10.32124352,1101100011,https://doi.org/10.1016/S0304-8853(00)00132-3
67,13.5,6.5,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,,,,20,20,9,1,3,0.298507463,0.134328358,0.044776119,0.014925373,3,6.666666667,20,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,9.823834197,1101100011,https://doi.org/10.1016/S0304-8853(00)00132-3
71.5,13.5,2,9,0,1,0,0,0,0,0,0,3,0,0,0,873,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,46.0715893,12.85154859,95.95,6,,,,16.77435036,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,0,3,0,0,0,873,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,46.0715893,12.85154859,95.95,6,,,,19.04918033,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,873,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,14.06557377,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,873,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,10.3319155,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,873,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,11.04918033,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,0,3,0,0,0,833,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,46.0715893,12.85154859,95.95,6,,,,14.98360656,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,0,3,0,0,0,833,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,46.0715893,12.85154859,95.95,6,,,,13.88965936,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,873,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,10.90917539,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,0,3,0,0,0,773,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,46.0715893,12.85154859,95.95,6,,,,13.3442623,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,0,3,0,0,0,813,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,46.0715893,12.85154859,95.95,6,,,,13.93442623,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,753,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,8.557377049,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,0,3,0,0,0,753,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,46.0715893,12.85154859,95.95,6,,,,12.8852459,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,773,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,9.93442623,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,0,3,0,0,0,793,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,46.0715893,12.85154859,95.95,6,,,,13.40983607,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,793,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,10.52459016,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,833,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,10.52459016,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,753,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,8.426229508,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,0,3,0,0,0,773,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,46.0715893,12.85154859,95.95,6,,,,11.9904207,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,0,3,0,0,0,753,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,46.0715893,12.85154859,95.95,6,,,,9.994852915,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,753,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,8.985631054,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,773,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,9.475409836,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,10.19672131,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,0,3,0,0,0,793,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,46.0715893,12.85154859,95.95,6,,,,11.87032205,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,773,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,9.971619545,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,753,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,8.504879008,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,813,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,10.98360656,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,793,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,10.47614112,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,833,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,10.23558637,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,813,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,10,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,853,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,10.11548772,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,773,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,9.490152625,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,813,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,10.11566644,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,833,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,10.78688525,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,833,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,9.947492583,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
